,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,SCA,GCA,PassLive,PassLive,Sh,SoT,Dist,FK,PK,np:G-xG,Season,Team
0,2023-08-11,20:00,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65,21572.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,29.0,5.0,20.0,4.0,17.0,8.0,13.9,0.0,0,1.1,2023,ManchesterCity
1,2023-08-19,20:00,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1.0,0.3,59,53419.0,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,27.0,2.0,24.0,2.0,14.0,4.0,17.9,0.0,0,0.0,2023,ManchesterCity
2,2023-08-27,14:00,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79,31336.0,Kyle Walker,4-2-3-1,Jarred Gillett,Match Report,,58.0,4.0,52.0,3.0,29.0,9.0,17.3,2.0,0,-0.8,2023,ManchesterCity
3,2023-09-02,15:00,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68,52899.0,Kyle Walker,4-2-3-1,Michael Oliver,Match Report,,13.0,9.0,9.0,5.0,6.0,4.0,14.8,0.0,1,2.6,2023,ManchesterCity
4,2023-09-16,15:00,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68,62475.0,Kyle Walker,4-2-3-1,Andy Madley,Match Report,,55.0,6.0,45.0,6.0,29.0,13.0,16.4,1.0,0,-0.6,2023,ManchesterCity
5,2023-09-23,15:00,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1.0,57,53413.0,Kyle Walker,4-2-3-1,Anthony Taylor,Match Report,,14.0,4.0,10.0,4.0,7.0,4.0,17.2,2.0,0,0.7,2023,ManchesterCity
6,2023-09-30,15:00,Matchweek 7,Sat,Away,L,1,2,Wolves,0.9,0.4,68,31415.0,Kyle Walker,4-2-3-1,Craig Pawson,Match Report,,41.0,2.0,27.0,1.0,23.0,8.0,19.3,1.0,0,0.1,2023,ManchesterCity
7,2023-10-08,16:30,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.4,51,60233.0,Kyle Walker,4-3-3,Michael Oliver,Match Report,,7.0,0.0,6.0,0.0,4.0,0.0,14.9,0.0,0,-0.5,2023,ManchesterCity
8,2023-10-21,15:00,Matchweek 9,Sat,Home,W,2,1,Brighton,0.8,0.8,55,53466.0,Kyle Walker,3-2-4-1,Robert Jones,Match Report,,17.0,2.0,13.0,1.0,10.0,5.0,18.8,1.0,0,1.2,2023,ManchesterCity
9,2023-10-29,15:30,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,4.0,0.9,60,73502.0,Kyle Walker,4-2-3-1,Paul Tierney,Match Report,,40.0,6.0,33.0,3.0,20.0,9.0,17.2,2.0,1,-1.2,2023,ManchesterCity
10,2023-11-04,15:00,Matchweek 11,Sat,Home,W,6,1,Bournemouth,1.9,0.9,65,53358.0,Kyle Walker,3-4-3,Craig Pawson,Match Report,,40.0,11.0,33.0,9.0,21.0,8.0,16.4,0.0,0,4.1,2023,ManchesterCity
11,2023-11-12,16:30,Matchweek 12,Sun,Away,D,4,4,Chelsea,2.9,2.9,55,39532.0,Kyle Walker,3-2-4-1,Anthony Taylor,Match Report,,29.0,7.0,21.0,4.0,14.0,9.0,16.6,1.0,1,0.9,2023,ManchesterCity
12,2023-11-25,12:30,Matchweek 13,Sat,Home,D,1,1,Liverpool,1.3,0.6,59,53289.0,Kyle Walker,3-2-4-1,Chris Kavanagh,Match Report,,30.0,2.0,18.0,1.0,16.0,5.0,16.3,1.0,0,-0.3,2023,ManchesterCity
13,2023-12-03,16:30,Matchweek 14,Sun,Home,D,3,3,Tottenham,2.6,0.5,55,53473.0,Kyle Walker,3-2-4-1,Simon Hooper,Match Report,,32.0,4.0,26.0,4.0,17.0,4.0,13.4,0.0,0,-0.6,2023,ManchesterCity
14,2023-12-06,20:15,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0.6,2.3,54,41421.0,Kyle Walker,3-2-4-1,John Brooks,Match Report,,4.0,0.0,3.0,0.0,2.0,2.0,7.4,0.0,0,-0.6,2023,ManchesterCity
15,2023-12-10,14:00,Matchweek 16,Sun,Away,W,2,1,Luton Town,1.6,0.3,65,11047.0,Kyle Walker,4-2-3-1,Tim Robinson,Match Report,,30.0,4.0,25.0,3.0,18.0,6.0,18.7,1.0,0,0.4,2023,ManchesterCity
16,2023-12-16,15:00,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,1.6,1.8,74,53248.0,Kyle Walker,4-2-3-1,Paul Tierney,Match Report,,36.0,2.0,27.0,2.0,19.0,9.0,18.2,0.0,0,0.4,2023,ManchesterCity
17,2023-12-27,20:15,Matchweek 19,Wed,Away,W,3,1,Everton,2.4,1.0,72,39327.0,Kyle Walker,4-2-3-1,John Brooks,Match Report,,38.0,3.0,25.0,2.0,22.0,8.0,19.5,1.0,1,0.2,2023,ManchesterCity
18,2023-12-30,15:00,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2.2,0.3,80,53108.0,Kyle Walker,4-2-3-1,David Coote,Match Report,,31.0,4.0,28.0,3.0,18.0,4.0,17.4,0.0,0,-0.2,2023,ManchesterCity
19,2024-01-13,17:30,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,3.0,1.3,72,52190.0,Kyle Walker,4-2-3-1,Chris Kavanagh,Match Report,,47.0,6.0,38.0,4.0,27.0,11.0,19.3,2.0,0,0.0,2023,ManchesterCity
20,2024-01-31,19:30,Matchweek 22,Wed,Home,W,3,1,Burnley,1.7,1.4,74,52143.0,Kevin De Bruyne,4-2-3-1,Samuel Barrott,Match Report,,26.0,6.0,19.0,4.0,14.0,4.0,15.8,1.0,0,1.3,2023,ManchesterCity
21,2024-02-05,20:00,Matchweek 23,Mon,Away,W,3,1,Brentford,2.1,1.0,72,17096.0,Kyle Walker,4-1-4-1,Jarred Gillett,Match Report,,46.0,6.0,35.0,6.0,25.0,15.0,19.2,0.0,0,0.9,2023,ManchesterCity
22,2024-02-10,12:30,Matchweek 24,Sat,Home,W,2,0,Everton,1.6,0.3,72,52187.0,Rúben Dias,4-1-4-1,John Brooks,Match Report,,35.0,3.0,27.0,1.0,19.0,3.0,17.4,0.0,0,0.4,2023,ManchesterCity
23,2024-02-17,17:30,Matchweek 25,Sat,Home,D,1,1,Chelsea,2.6,1.4,70,52178.0,Kyle Walker,4-1-4-1,Andy Madley,Match Report,,54.0,1.0,43.0,0.0,31.0,5.0,15.9,1.0,0,-1.6,2023,ManchesterCity
24,2024-02-20,19:30,Matchweek 18,Tue,Home,W,1,0,Brentford,2.3,0.4,70,52247.0,Kyle Walker,4-2-3-1,Darren England,Match Report,,45.0,2.0,38.0,2.0,25.0,10.0,17.6,0.0,0,-1.3,2023,ManchesterCity
25,2024-02-24,17:30,Matchweek 26,Sat,Away,W,1,0,Bournemouth,1.6,0.9,62,11184.0,Rúben Dias,3-2-4-1,Jarred Gillett,Match Report,,28.0,1.0,21.0,0.0,15.0,6.0,15.5,1.0,0,-0.6,2023,ManchesterCity
26,2024-03-03,15:30,Matchweek 27,Sun,Home,W,3,1,Manchester Utd,3.3,0.2,73,53514.0,Kyle Walker,3-2-4-1,Andy Madley,Match Report,,50.0,6.0,44.0,5.0,27.0,8.0,17.7,1.0,0,-0.3,2023,ManchesterCity
27,2024-03-10,15:45,Matchweek 28,Sun,Away,D,1,1,Liverpool,1.6,2.7,47,59947.0,Kyle Walker,3-2-4-1,Michael Oliver,Match Report,,19.0,2.0,15.0,1.0,10.0,6.0,18.6,0.0,0,-0.6,2023,ManchesterCity
28,2024-03-31,16:30,Matchweek 30,Sun,Home,D,0,0,Arsenal,1.0,0.7,72,52178.0,Kevin De Bruyne,4-1-4-1,Anthony Taylor,Match Report,,24.0,0.0,18.0,0.0,12.0,1.0,14.2,0.0,0,-1.0,2023,ManchesterCity
29,2024-04-03,20:15,Matchweek 31,Wed,Home,W,4,1,Aston Villa,3.4,0.8,67,53422.0,Rúben Dias,4-2-3-1,Darren England,Match Report,,45.0,6.0,35.0,3.0,25.0,11.0,15.9,2.0,0,0.6,2023,ManchesterCity
30,2024-04-06,12:30,Matchweek 32,Sat,Away,W,4,2,Crystal Palace,1.9,1.1,75,25132.0,Kevin De Bruyne,3-2-4-1,Paul Tierney,Match Report,,36.0,8.0,32.0,8.0,18.0,8.0,16.1,0.0,0,2.1,2023,ManchesterCity
31,2024-04-13,15:00,Matchweek 33,Sat,Home,W,5,1,Luton Town,4.2,0.5,73,52149.0,Kevin De Bruyne,4-2-3-1,John Brooks,Match Report,,67.0,8.0,50.0,6.0,36.0,12.0,16.9,0.0,1,-0.4,2023,ManchesterCity
